Province,Municipality,Area,Production,Yield
Aklan,Altavas,45.15,139.61,3.0921373200443
Aklan,Balete,7.84,0.34,0.0433673469387755
Aklan,Banga,16.05,46.58,2.90218068535825
Aklan,Batan,29.15,62.3,2.13722126929674
Aklan,Buruanga,39.0,8.37,0.214615384615385
Aklan,Ibajay,26.16,86.501,3.30661314984709
Aklan,Kalibo,452.66,736.8,1.62771174833208
Aklan,Lezo,51.83,102.385,1.97540034728921
Aklan,Libacao,33.265,15.275,0.459191342251616
Aklan,Madalag,33.09,160.07,4.83741311574494
Aklan,Makato,11.34,4.995,0.44047619047619
Aklan,Malay,0.83,3.191,3.84457831325301
Aklan,Malinao,1.95,5.85,3.0
Aklan,Nabas,29.46,72.47,2.45994568906993
Aklan,New Washington,24.82,56.14,2.26188557614827
Aklan,Numancia,527.49,157.94,0.299417998445468
Aklan,Tangalan,9.39,16.932,1.80319488817891
Antique,Hamtic,197.145,1482.225,7.51845088640341
Antique,Laua-An,1013.264,527.242,0.520340207487881
Antique,Libertad,59.085,107.035,1.81154269273081
Antique,Pandan,9.116,45.388,4.97893813075911
Antique,Patnongon,189.439,1009.505,5.32891854370008
Antique,San Jose,1.014,1.081,1.06607495069034
Antique,San Remigio,86.06,517.702,6.01559377178712
Antique,Sebaste,0.0,0.0,0.0
Antique,Sibalom,51.3,99.37,1.93703703703704
Antique,Tibiao,12.34,24.02,1.94651539708266
Antique,Tobias Fornier,87.969,128.8,1.46415214450545
Antique,Valderrama,179.376,417.112,2.32535010257783
Guimaras,Buenavista,109.47,125.71,1.14835114643281
Guimaras,Jordan,287.32,230.261,0.801409578170681
Guimaras,Nueva Valencia,150.84,211.48,1.40201538053567
Guimaras,San Lorenzo,41.828,53.07665,1.26892631729942
Guimaras,Sibunag,236.12,302.61,1.28159410469253
Iloilo,Ajuy,10.5,17.0,1.61904761904762
Iloilo,Alimodian,713.98,6180.41,8.65627888736379
Iloilo,Anilao,178.95,501.96,2.80502933780386
Iloilo,Badiangan,215.5,946.818,4.39358700696056
Iloilo,Balasan,0.0,0.0,0.0
Iloilo,Banate,2.25,7.64,3.39555555555556
Iloilo,Barotac Nuevo,20.5,53.73,2.6209756097561
Iloilo,Barotac Viejo,17.55,167.5,9.54415954415954
Iloilo,Batad,48.4,78.55,1.62293388429752
Iloilo,Bingawan,41.65,344.24,8.26506602641057
Iloilo,Cabatuan,358.72,396.24,1.10459411239964
Iloilo,Calinog,115.6,683.75,5.91479238754325
Iloilo,Carles,14.75,61.0,4.13559322033898
Iloilo,Concepcion,34.585,23.629,0.683215266734133
Iloilo,Dingle,816.075,1759.47,2.1560150721441
Iloilo,Dueñas,57.912,42.869,0.740243818206935
Iloilo,Dumangas,323.3,393.21,1.21623878750387
Iloilo,Estancia,302.5,84.9,0.280661157024793
Iloilo,Guimbal,6.5,10.98,1.68923076923077
Iloilo,Igbaras,275.1,373.45,1.35750636132316
Iloilo,City of Iloilo,83.1355,607.3015,7.3049599749806
Iloilo,Janiuay,244.25,317.94,1.30169907881269
Iloilo,Lambunao,414.892,1016.696,2.45050760197835
Iloilo,Leganes,128.26,189.0,1.47356931233432
Iloilo,Lemery,114.72,952.33,8.30134239888424
Iloilo,Leon,2175.05,18621.25,8.56129744143813
Iloilo,Maasin,0.0,0.0,0.0
Iloilo,Miagao,306.92,1158.2895,3.77391339762805
Iloilo,Mina,14.68,32.6,2.22070844686649
Iloilo,New Lucena,31.6,203.75,6.44778481012658
Iloilo,Oton,586.58,1350.864,2.30294929932831
Iloilo,City of Passi,111.88,162.635,1.45365570253843
Iloilo,Pavia,0.0,0.0,0.0
Iloilo,Pototan,344.6,842.89,2.44599535693558
Iloilo,San Dionisio,732.6,693.6,0.946764946764947
Iloilo,San Enrique,41.99,154.85,3.68778280542986
Iloilo,San Miguel,115.53,498.3842,4.31389422660781
Iloilo,San Joaquin,191.75,74.0,0.385919165580183
Iloilo,San Rafael,0.0,0.0,0.0
Iloilo,Santa Barbara,0.0,0.0,0.0
Iloilo,Sara,40.08,129.2,3.22355289421158
Iloilo,Tigbauan,197.5,140.5,0.711392405063291
Iloilo,Tubungan,75.36,783.579,10.3978105095541
Iloilo,Zarraga,43.876,178.4445,4.06701841553469
Capiz,Cuartero,102.757,86.218,0.839047461486809
Capiz,Dao,151.75,235.15,1.5495881383855
Capiz,Dumalag,24.45,151.5,6.19631901840491
Capiz,Dumarao,240.22,108.5,0.451669303138789
Capiz,Ivisan,0.0,0.0,0.0
Capiz,Jamindan,274.25,351.3,1.28094804010939
Capiz,Ma-Ayon,11.55,947.355,82.0220779220779
Capiz,Mambusao,1005.5,430.1,0.427747389358528
Capiz,Panay,247.05,1389.57,5.62465088038859
Capiz,Panitan,164.37,135.755,0.825911054328649
Capiz,Pilar,12.75,3.25,0.254901960784314
Capiz,Pontevedra,55.32,195.42,3.53253796095445
Capiz,President Roxas,40.33,9.06,0.224646665013638
Capiz,City of Roxas,174.6,108.92,0.623825887743414
Capiz,Sapi-An,54.0,10.0,0.185185185185185
Capiz,Sigma,26.75,19.4,0.725233644859813
Capiz,Tapaz,0.0,3.5,0.0
